CZType,Label,TotalHours,OnePointEightMHz,ThreePointFiveMHz,SevenMHz,FourteenMHz,TwentyOneMHz,TwentyEightMHz,None
Totals,Totals,227739,24739,50119,90944,86280,58932,10388,0
Country,African Italy,32,4,8,10,11,5,0,0
Country,Aland Islands,123,32,42,80,28,15,5,0
Country,Alaska,149,14,19,72,85,26,1,0
Country,Albania,53,26,28,27,26,10,0,0
Country,Algeria,47,6,14,28,16,12,2,0
Country,Andorra,21,0,2,14,2,3,0,0
Country,Angola,11,1,0,7,3,0,0,0
Country,Antarctica,59,0,2,14,37,23,1,0
Country,Antigua & Barbuda,121,11,26,53,54,53,4,0
Country,Argentina,918,23,66,168,334,425,178,0
Country,Armenia,53,3,5,19,6,23,4,0
Country,Aruba,258,38,73,104,123,103,20,0
Country,Asiatic Russia,5445,610,1271,2333,2089,1213,120,0
Country,Asiatic Turkey,196,1,12,90,88,45,1,0
Country,Australia,1002,15,67,308,388,442,160,0
Country,Austria,983,112,240,414,361,241,48,0
Country,Azerbaijan,112,6,33,38,16,32,1,0
Country,Azores,198,9,24,95,38,59,3,0
Country,Bahamas,51,2,12,14,20,11,1,0
Country,Bahrain,26,0,0,11,11,10,0,0
Country,Balearic Islands,231,9,37,121,43,61,2,0
Country,Barbados,60,4,14,29,10,13,5,0
Country,Belarus,1765,379,631,779,436,257,33,0
Country,Belgium,1584,178,386,594,569,349,39,0
Country,Belize,56,8,10,17,22,20,6,0
Country,Benin,3,0,0,2,1,0,0,0
Country,Bermuda,20,2,2,10,8,2,1,0
Country,Bhutan,33,1,1,13,8,12,0,0
Country,Bolivia,4,0,0,0,1,3,0,0
Country,Bonaire,204,12,29,84,82,67,4,0
Country,Bosnia-Herzegovina,729,107,252,240,166,76,13,0
Country,Brazil,2449,48,73,604,805,1357,402,0
Country,Brunei Darussalam,83,0,0,18,43,36,17,0
Country,Bulgaria,1770,126,325,792,595,414,119,0
Country,Canada,4883,571,965,1932,2255,1356,132,0
Country,Canary Islands,768,75,135,299,300,250,77,0
Country,Cayman Islands,152,34,48,66,67,59,18,0
Country,Central Kiribati,19,0,0,0,0,19,0,0
Country,Ceuta & Melilla,148,14,7,106,7,14,1,0
Country,Chagos Islands,11,0,0,2,7,4,0,0
Country,Chile,318,6,21,84,181,92,43,0
Country,China,2757,85,329,1102,1386,800,178,0
Country,Cocos Island,12,0,4,3,2,3,0,0
Country,Colombia,145,9,6,43,76,49,11,0
Country,Corsica,132,29,46,66,55,43,14,0
Country,Costa Rica,229,15,47,99,86,75,20,0
Country,Cote d'Ivoire,28,0,0,10,18,11,0,0
Country,Crete,112,24,38,47,41,44,5,0
Country,Croatia,1692,171,528,788,496,326,88,0
Country,Cuba,211,5,46,133,38,14,2,0
Country,Curacao,70,27,32,44,55,35,18,0
Country,Cyprus,174,56,46,66,57,72,22,0
Country,Czech Republic,5404,703,1592,2174,1520,957,140,0
Country,Dem. Rep. of the Congo,3,0,0,0,2,2,1,0
Country,Denmark,1047,160,342,483,299,178,24,0
Country,Dodecanese,38,0,0,38,0,0,0,0
Country,Dominican Republic,72,11,26,20,17,21,11,0
Country,East Malaysia,95,10,13,26,39,33,34,0
Country,Ecuador,46,1,12,13,30,21,5,0
Country,Egypt,34,0,0,1,3,30,0,0
Country,England,5319,713,1080,2163,1929,1324,130,0
Country,Estonia,411,103,136,153,166,99,20,0
Country,European Russia,14370,2268,3585,5889,5008,2970,386,0
Country,European Turkey,64,11,22,36,19,17,0,0
Country,Falkland Islands,12,0,0,0,4,9,4,0
Country,Faroe Islands,35,0,0,13,28,1,0,0
Country,Fed. Rep. of Germany,17862,2564,5225,7754,5965,4404,737,0
Country,Fernando de Noronha,69,3,20,50,35,22,10,0
Country,Fiji,8,0,0,0,6,3,2,0
Country,Finland,2968,418,849,1130,1090,508,110,0
Country,France,4319,475,883,1592,1615,1136,138,0
Country,French Guiana,117,0,0,55,44,15,7,0
Country,Georgia,121,0,17,48,37,20,0,0
Country,Ghana,49,8,15,24,34,24,7,0
Country,Gibraltar,78,33,6,20,32,19,2,0
Country,Greece,874,87,232,347,250,245,11,0
Country,Greenland,6,0,0,2,4,2,0,0
Country,Grenada,23,1,4,10,11,5,0,0
Country,Guadeloupe,29,0,0,0,0,29,0,0
Country,Guam,91,9,22,33,60,46,20,0
Country,Guantanamo Bay,157,26,38,77,69,49,7,0
Country,Guatemala,13,0,2,10,2,3,0,0
Country,Guernsey,150,17,20,41,70,45,4,0
Country,Guinea,19,0,0,5,10,12,6,0
Country,Guinea-Bissau,6,1,1,0,3,1,0,0
Country,Guyana,44,0,2,14,23,12,7,0
Country,Haiti,54,5,9,28,17,19,1,0
Country,Hawaii,577,70,131,184,309,185,73,0
Country,Honduras,66,14,19,30,41,23,10,0
Country,Hong Kong,152,27,0,27,27,89,7,0
Country,Hungary,3134,470,825,1322,875,493,89,0
Country,Iceland,144,5,47,45,69,19,0,0
Country,India,453,4,21,175,179,201,25,0
Country,Indonesia,986,1,70,311,415,419,48,0
Country,Ireland,540,126,132,147,184,103,7,0
Country,Isle of Man,52,3,12,24,26,5,0,0
Country,Israel,433,33,66,199,163,115,15,0
Country,Italy,7346,773,1791,3098,2394,1742,151,0
Country,Jamaica,235,36,66,112,119,83,21,0
Country,Japan,23085,1399,3650,8570,9108,6566,1730,0
Country,Jersey,93,0,14,38,52,13,1,0
Country,Kaliningrad,345,37,112,141,75,67,9,0
Country,Kazakhstan,720,52,195,273,273,159,14,0
Country,Kenya,10,0,0,7,6,0,0,0
Country,Kuwait,48,0,33,10,12,5,3,0
Country,Kyrgyzstan,41,3,5,17,14,11,1,0
Country,Latvia,802,161,280,274,270,121,25,0
Country,Libya,5,0,0,0,5,0,0,0
Country,Liechtenstein,48,8,12,12,18,7,0,0
Country,Lithuania,1642,353,736,740,509,275,83,0
Country,Luxembourg,138,32,37,49,58,42,10,0
Country,Macedonia,425,14,99,197,136,79,3,0
Country,Madeira Islands,682,63,139,295,251,154,39,0
Country,Malawi,26,0,0,1,4,22,3,0
Country,Mali,20,8,10,9,3,3,1,0
Country,Malta,56,11,18,27,24,25,4,0
Country,Mariana Islands,55,16,28,35,34,27,14,0
Country,Marshall Islands,32,3,5,10,16,7,1,0
Country,Martinique,54,0,5,8,11,35,2,0
Country,Mauritius,10,0,0,2,3,6,0,0
Country,Mexico,260,20,37,121,77,70,15,0
Country,Micronesia,30,2,3,8,15,12,5,0
Country,Moldova,255,23,45,129,83,52,6,0
Country,Mongolia,106,13,23,33,50,22,3,0
Country,Montenegro,167,14,74,52,48,34,2,0
Country,Morocco,318,45,84,113,132,109,33,0
Country,Namibia,11,0,5,7,4,5,0,0
Country,Netherlands,3389,374,889,1502,1424,729,130,0
Country,New Caledonia,73,0,1,14,35,38,6,0
Country,New Zealand,485,2,42,152,186,224,59,0
Country,Nicaragua,94,7,14,28,27,39,9,0
Country,Northern Ireland,174,23,42,64,58,45,4,0
Country,Norway,1224,253,372,492,433,216,39,0
Country,Oman,117,27,38,57,66,55,20,0
Country,Pakistan,9,0,0,3,3,3,1,0
Country,Palau,18,0,3,7,12,5,1,0
Country,Panama,72,0,8,13,22,29,13,0
Country,Papua New Guinea,10,0,2,4,0,5,0,0
Country,Paraguay,38,0,0,18,10,14,1,0
Country,Peru,62,0,6,16,24,25,9,0
Country,Philippines,206,2,37,55,66,62,27,0
Country,Poland,6271,904,1650,2775,1767,1147,118,0
Country,Portugal,539,40,90,259,217,161,32,0
Country,Puerto Rico,197,9,23,69,56,97,18,0
Country,Qatar,53,1,6,22,22,20,1,0
Country,Republic of Korea,624,37,108,318,251,111,35,0
Country,Republic of Kosovo,10,0,0,1,5,5,0,0
Country,Republic of the Congo,11,0,0,3,5,9,2,0
Country,Reunion Island,3,0,0,0,0,3,0,0
Country,Rodriguez Island,46,3,14,22,31,27,12,0
Country,Romania,2567,324,499,1121,690,465,28,0
Country,Samoa,27,1,5,6,16,8,2,0
Country,San Andres & Providencia,45,3,6,9,22,11,4,0
Country,San Marino,13,0,0,1,5,9,1,0
Country,Sardinia,204,8,29,83,72,51,1,0
Country,Saudi Arabia,74,4,16,42,14,11,2,0
Country,Scotland,832,123,187,331,273,142,27,0
Country,Senegal,44,0,1,18,20,18,10,0
Country,Serbia,2220,257,674,917,505,328,59,0
Country,Seychelles,34,0,1,0,8,27,0,0
Country,Shetland Islands,8,0,0,8,0,0,0,0
Country,Sicily,532,78,106,178,293,161,41,0
Country,Singapore,62,0,0,0,16,49,4,0
Country,Slovak Republic,2046,211,575,900,620,295,56,0
Country,Slovenia,3233,449,913,1295,1036,539,122,0
Country,South Africa,223,3,14,45,86,131,24,0
Country,Spain,4136,344,884,1784,1477,1226,162,0
Country,Sri Lanka,13,0,0,5,8,0,0,0
Country,St. Barthelemy,12,0,1,3,4,6,0,0
Country,St. Kitts & Nevis,91,15,29,45,51,34,13,0
Country,St. Lucia,36,3,8,12,20,12,6,0
Country,Suriname,96,17,30,37,55,41,13,0
Country,Sweden,2690,394,746,1118,1008,398,47,0
Country,Switzerland,1530,184,362,623,598,395,50,0
Country,Taiwan,110,8,32,34,33,40,16,0
Country,Tajikistan,6,1,2,0,3,3,2,0
Country,Tanzania,11,0,0,7,0,0,4,0
Country,Thailand,598,17,47,219,312,287,62,0
Country,Tonga,34,0,0,4,0,32,1,0
Country,Trinidad & Tobago,85,11,18,25,42,33,7,0
Country,Tunisia,55,4,26,21,21,18,1,0
Country,Turkmenistan,11,0,9,2,0,0,0,0
Country,Turks & Caicos Islands,48,9,13,23,24,14,3,0
Country,Uganda,76,0,3,13,53,24,3,0
Country,Ukraine,8774,1193,2333,3871,2678,1608,192,0
Country,United Arab Emirates,85,7,22,34,34,22,3,0
Country,United States,53526,4894,9928,20540,24677,16623,2690,0
Country,Uruguay,236,16,21,45,64,173,33,0
Country,US Virgin Islands,83,32,15,25,22,20,8,0
Country,Uzbekistan,96,0,35,18,41,11,4,0
Country,Venezuela,308,11,25,69,169,60,28,0
Country,Vienna Intl Ctr,48,11,16,25,19,12,8,0
Country,Vietnam,58,0,2,15,25,26,5,0
Country,Wales,483,46,101,210,184,74,7,0
Country,West Malaysia,186,5,55,70,75,55,6,0
Country,Western Sahara,10,0,1,6,2,1,0,0
Zone,01,179,16,24,82,100,30,2,0
Zone,02,107,20,38,59,59,36,4,0
Zone,03,3793,284,637,1395,1802,1105,157,0
Zone,04,9353,1002,1824,3643,4269,3056,478,0
Zone,05,45146,4159,8391,17375,20795,13780,2183,0
Zone,06,260,20,37,121,77,70,15,0
Zone,07,587,47,110,209,224,203,62,0
Zone,08,1686,203,383,727,610,574,120,0
Zone,09,1327,125,215,475,669,415,115,0
Zone,10,112,1,18,29,55,49,14,0
Zone,11,2556,51,93,672,850,1393,413,0
Zone,12,318,6,21,84,181,92,43,0
Zone,13,1166,39,87,213,402,607,215,0
Zone,14,46720,6108,11885,19551,16600,11135,1595,0
Zone,15,40989,5452,11611,17098,12561,7658,1210,0
Zone,16,25248,3852,6638,10723,8205,4898,616,0
Zone,17,5539,610,1330,2328,2135,1226,129,0
Zone,18,399,18,80,159,156,85,1,0
Zone,19,297,49,63,101,129,75,12,0
Zone,20,6228,662,1240,2736,1903,1417,201,0
Zone,21,698,48,170,284,221,201,35,0
Zone,22,499,5,22,193,195,213,25,0
Zone,23,147,17,40,65,77,39,9,0
Zone,24,2978,116,344,1131,1419,912,195,0
Zone,25,23709,1436,3758,8888,9359,6677,1765,0
Zone,26,656,17,49,234,337,313,67,0
Zone,27,400,29,93,138,187,152,67,0
Zone,28,1422,16,140,429,588,597,109,0
Zone,29,247,6,22,68,102,122,29,0
Zone,30,814,9,47,254,323,343,132,0
Zone,31,628,73,136,194,325,211,74,0
Zone,32,627,3,48,176,243,305,70,0
Zone,33,2060,211,414,878,740,563,153,0
Zone,34,39,0,0,1,8,30,0,0
Zone,35,169,17,27,68,89,69,24,0
Zone,36,25,1,0,10,10,11,3,0
Zone,37,123,0,3,28,63,46,10,0
Zone,38,234,3,19,52,90,136,24,0
Zone,39,104,3,15,26,49,67,12,0
Zone,40,150,5,47,47,73,21,0,0
