Call,TotalHours,OnePointEightMHz,ThreePointFiveMHz,SevenMHz,FourteenMHz,TwentyOneMHz,TwentyEightMHz,None
2E0CVN,33,2,8,23,15,11,1,0
2E0FFT,20,1,4,5,5,4,3,0
2E0XAR,8,0,0,0,0,8,0,0
3B9HA,44,2,13,21,29,26,11,0
3V8SS,48,4,25,20,19,15,1,0
3W1T,7,0,0,1,1,6,1,0
3XY3D,19,0,0,5,10,12,6,0
3Z0X,35,0,0,35,0,0,0,0
3Z1K,48,8,18,15,10,8,1,0
4F3FSK,8,0,7,0,1,0,1,0
4J3DJ,1,0,1,0,0,0,0,0
4K6FO,21,0,21,0,0,0,0,0
4K9W,36,0,1,17,4,17,0,0
4L2M,32,0,0,0,32,0,0,0
4L5P,17,0,17,0,0,0,0,0
4L6QL,32,0,0,18,0,15,0,0
4L7AA,30,0,0,30,0,0,0,0
4L8A,5,0,0,0,0,5,0,0
4O4A,21,0,21,0,0,0,0,0
4O4SM,32,0,13,16,11,8,0,0
4O6ZD,23,3,6,6,6,10,1,0
4O7CC,40,11,12,18,14,7,1,0
4O7CW,14,0,0,0,14,0,0,0
4S7AB,5,0,0,5,0,0,0,0
4S7TNG,8,0,0,0,8,0,0,0
4U1A,42,11,16,20,18,12,8,0
4U1GSC,33,0,0,22,11,7,0,0
4U1WB,11,0,0,5,10,3,0,0
4X/UA9CTT,36,0,0,36,0,0,0,0
4X1EL,25,0,3,11,10,15,2,0
4X1IM,23,6,2,8,8,5,0,0
4X1KS,23,0,6,11,6,4,2,0
4X2M,30,0,0,0,30,0,0,0
4X6FR,45,7,18,26,28,26,5,0
4X6GP,6,0,0,4,2,1,0,0
4Z1DZ,11,0,3,6,4,0,0,0
4Z4KX,8,8,1,0,0,0,0,0
4Z5LY,41,8,15,17,19,15,2,0
4Z5MU,4,3,0,0,1,0,0,0
4Z5OZ,6,0,0,3,4,1,0,0
4Z5TK,28,0,6,12,10,5,0,0
5A1AL,5,0,0,0,5,0,0,0
5B4ALJ,22,22,0,0,0,0,0,0
5H3EE,11,0,0,7,0,0,4,0
5K3W,1,0,0,0,1,0,0,0
5P1B,7,0,2,3,3,0,0,0
5P3WW,48,7,16,20,11,12,1,0
5W1SA,27,1,5,6,16,8,2,0
5X1NH,36,0,0,0,36,0,0,0
5X2B,16,0,3,9,1,8,2,0
5X8B,24,0,0,4,16,16,1,0
5Z4/LZ4NM,10,0,0,7,6,0,0,0
6W1SU,44,0,1,18,20,18,10,0
6Y0W,48,18,27,34,38,25,12,0
6Y3M,48,10,25,31,29,21,8,0
7J1ABD,8,0,0,2,3,7,0,0
7K1CPT,13,0,0,6,8,2,1,0
7K1DPE,7,1,3,4,0,2,3,0
7K1JFM,13,0,1,7,7,3,0,0
7K1MAG/2,31,1,4,13,19,12,5,0
7K1PTT,11,0,3,5,3,0,0,0
7K1VKU,8,0,0,2,3,6,1,0
7K2PZG,17,3,8,0,0,7,2,0
7K3OZQ,8,0,0,0,0,8,0,0
7K4AEA,17,0,0,12,9,6,2,0
7K4GUR,34,0,0,14,20,9,2,0
7K4VPV,19,0,0,6,12,9,2,0
7K4XNN,19,0,0,0,0,19,0,0
7L1DST,17,0,0,10,1,5,3,0
7L2OHM,5,0,0,0,0,5,0,0
7L3SQL,7,0,0,2,0,0,5,0
7L4FCN,9,0,0,9,0,0,0,0
7L4GPF,5,0,0,0,0,5,0,0
7L4SCQ,6,0,0,0,6,1,1,0
7M4AOE,1,0,1,0,0,0,0,0
7N2JZT/6,33,0,6,15,17,19,8,0
7N4GIB,7,0,0,5,3,1,0,0
7N4LNK,14,0,7,2,5,0,0,0
7N4QCQ,9,0,0,3,7,2,0,0
7N4XTA,13,0,0,5,9,0,0,0
7Q6M,26,0,0,1,4,22,3,0
7S7V,3,0,3,3,0,0,0,0
7X2ARA,47,6,14,28,16,12,2,0
7Z1SJ,20,0,0,20,0,0,0,0
8J1YAC/1,33,0,1,15,19,12,4,0
8J2YAF/2,29,1,5,14,13,13,6,0
8N1NIT,14,2,5,11,0,0,0,0
8P1W,36,4,12,8,7,11,5,0
8P2K,24,0,2,21,3,2,0,0
8R1/AG6UT,38,0,2,11,20,12,7,0
